File,Diagram Number,Diagram Type,Has accTitle,Has accDescr,Missing Attributes,Compliance Status
instructions/mermaid.instructions.md,7,stateDiagram,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,8,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,9,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,10,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,11,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,12,flowchart,Yes,Yes,"—",✅ Accessible
instructions/quality-assurance.instructions.md,1,graph,Yes,Yes,"—",✅ Accessible
instructions/quality-assurance.instructions.md,2,sequenceDiagram,Yes,Yes,"—",✅ Accessible
profile/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
profile/README.md,2,flowchart,Yes,Yes,"—",✅ Accessible
profile/README.md,3,graph,Yes,Yes,"—",✅ Accessible
profile/README.md,4,stateDiagram,Yes,Yes,"—",✅ Accessible
scripts/README.md,1,graph,Yes,Yes,"—",✅ Accessible
scripts/README.md,2,sequenceDiagram,Yes,Yes,"—",✅ Accessible
scripts/README.md,3,flowchart,Yes,Yes,"—",✅ Accessible
scripts/metrics/docs/README.md,1,graph,Yes,Yes,"—",✅ Accessible
scripts/validation/README.md,1,config,Yes,Yes,"YAML front-matter (---) syntax is not supported by GitHub's Mermaid renderer. Move accTitle and accDescr inline, after the diagram type declaration.",⚠️ Non-Compliant
tests/README.md,1,graph,Yes,Yes,"—",✅ Accessible
tests/README.md,2,sequenceDiagram,Yes,Yes,"—",✅ Accessible
tests/README.md,3,flowchart,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/invalid/malformed-node.md,1,graph,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/invalid/missing-keyword.md,1,TD,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/invalid/unclosed-bracket.md,1,graph,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/valid/flowchart.md,1,flowchart,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/valid/graph.md,1,graph,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/valid/multiple-diagrams.md,1,graph,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/valid/multiple-diagrams.md,2,flowchart,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/valid/sequencediagram.md,1,sequenceDiagram,Yes,Yes,"—",✅ Accessible
tests/fixtures/mermaid/valid/statediagram.md,1,stateDiagram,Yes,Yes,"—",✅ Accessible
